<phenotype>								
taxa	data	data	data	data	data	data	data	data
Taxa	PH	EH	SHL	ASI	LAZY	KRN	KWT	albino
1943-21	181.25	94.17	13.97	-0.75	0	9.5	3.99	0
1943-22	212.92	107.5	12.7	0	0	13.58	4.77	0
1944-12	231.11	135	19.47	-0.67	0	10.67	3.15	0
1944-15	205.83	122.08	15.24	-0.75	0	11.83	3.32	0
1944-18	226.95	131.67	24.55	0	0	12.67	3.18	0
1944-19	197.92	96.25	14.39	-0.5	0	13.5	4.65	0
1944-20	219.58	139.17	16.51	-1	0	8.5	2.91	0
1944-23	211.25	128.75	15.66	-0.25	0	11.5	3.78	0
1945-1	194.45	116.67	14.39	0	0	14.67	3.58	0
1945-2	215.42	138.33	14.39	0.25	0	11.5	2.75	0
1945-9	217.92	94.17	24.13	0	0	11.5	5.1	0
1945-12	175	80.83	16.09	-0.25	0	11.42	3.92	0
1945-18	206.25	120.42	15.24	-0.25	21.43	12.75	3.53	7.15
370-1	180.83	98.33	17.36	-0.5	0	9.67	3.18	0
370-2	200.83	120.42	14.82	-1.75	0	11	3.93	0
370-4	177.08	85.42	16.09	-0.25	0	11.33	2.92	0
370-5	213.33	117.5	14.82	-0.5	0	12.5	3.91	0
370-6	182.5	92.5	16.51	-1	0	10.5	3.7	0
370-7	175.83	89.58	27.09	0	0	10.67	4.12	0
370-8	202.5	127.5	27.52	2	0	9.33	3.22	0
370-9	199.17	96.67	16.93	0.5	0	13.5	3.9	0
370-12	182.5	115.42	21.17	-0.5	0	7.75	3.26	0
370-13	190.42	115.83	17.78	-0.25	0	9.75	3.56	0
370-14	197.08	119.17	16.93	-0.5	0	11.58	3.61	0
